report_id,company_inn,subject_inn,item_type,item_index,name,related_inn,related_ogrn,role,position,code,description,share,amount,date_from,active,registration_date,address,phone_type,phone_code,phone_number,auth_person_name,auth_person_position,details_json
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,7,,,,other,,43.29,Производство прочих строительно-монтажных работ,,,,,,,,,,,,"{""code"":""43.29"",""description"":""Производство прочих строительно-монтажных работ""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,8,,,,other,,46.73,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",,,,,,,,,,,,"{""code"":""46.73"",""description"":""Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,9,,,,other,,43.21,Производство электромонтажных работ,,,,,,,,,,,,"{""code"":""43.21"",""description"":""Производство электромонтажных работ""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,10,,,,other,,22.23,"Производство пластмассовых изделий, используемых в строительстве",,,,,,,,,,,,"{""code"":""22.23"",""description"":""Производство пластмассовых изделий, используемых в строительстве""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,11,,,,other,,47.78,Торговля розничная прочая в специализированных магазинах,,,,,,,,,,,,"{""code"":""47.78"",""description"":""Торговля розничная прочая в специализированных магазинах""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,12,,,,other,,49.42,Предоставление услуг по перевозкам,,,,,,,,,,,,"{""code"":""49.42"",""description"":""Предоставление услуг по перевозкам""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,13,,,,other,,25.61,Обработка металлов и нанесение покрытий на металлы,,,,,,,,,,,,"{""code"":""25.61"",""description"":""Обработка металлов и нанесение покрытий на металлы""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,14,,,,other,,46.90,Торговля оптовая неспециализированная,,,,,,,,,,,,"{""code"":""46.90"",""description"":""Торговля оптовая неспециализированная""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,15,,,,other,,25.62,Обработка металлических изделий механическая,,,,,,,,,,,,"{""code"":""25.62"",""description"":""Обработка металлических изделий механическая""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,16,,,,other,,49.41,Деятельность автомобильного грузового транспорта,,,,,,,,,,,,"{""code"":""49.41"",""description"":""Деятельность автомобильного грузового транспорта""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,17,,,,other,,43.33,Работы по устройству покрытий полов и облицовке стен,,,,,,,,,,,,"{""code"":""43.33"",""description"":""Работы по устройству покрытий полов и облицовке стен""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,18,,,,other,,43.34,Производство малярных и стекольных работ,,,,,,,,,,,,"{""code"":""43.34"",""description"":""Производство малярных и стекольных работ""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,activity,19,,,,other,,43.39,Производство прочих отделочных и завершающих работ,,,,,,,,,,,,"{""code"":""43.39"",""description"":""Производство прочих отделочных и завершающих работ""}"
c2be40c0-668f-5953-a049-4d99a26229ca,1684017097,1684017097,tax_system,0,Общая система налогообложения,,,tax_system,,ОСНО,,,,,,,,,,,,,"{""fullName"":""Общая система налогообложения"",""shortName"":""ОСНО""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,0,,,,main,,47.91,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,,,,,,,,,,,,"{""code"":""47.91"",""description"":""Торговля розничная по почте или по информационно-коммуникационной сети Интернет""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,1,,,,other,,47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",,,,,,,,,,,,"{""code"":""47.99"",""description"":""Торговля розничная прочая вне магазинов, палаток, рынков""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,2,,,,other,,46.90,Торговля оптовая неспециализированная,,,,,,,,,,,,"{""code"":""46.90"",""description"":""Торговля оптовая неспециализированная""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,3,,,,other,,46.18.99,"Деятельность агентов, специализирующихся на оптовой торговле прочими товарами, не включенными в другие группировки",,,,,,,,,,,,"{""code"":""46.18.99"",""description"":""Деятельность агентов, специализирующихся на оптовой торговле прочими товарами, не включенными в другие группировки""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,4,,,,other,,46.69,Торговля оптовая прочими машинами и оборудованием,,,,,,,,,,,,"{""code"":""46.69"",""description"":""Торговля оптовая прочими машинами и оборудованием""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,5,,,,other,,46.14.9,Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием,,,,,,,,,,,,"{""code"":""46.14.9"",""description"":""Деятельность агентов по оптовой торговле прочими видами машин и промышленным оборудованием""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,6,,,,other,,47.54,Торговля розничная бытовыми электротоварами в специализированных магазинах,,,,,,,,,,,,"{""code"":""47.54"",""description"":""Торговля розничная бытовыми электротоварами в специализированных магазинах""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,7,,,,other,,46.49,Торговля оптовая прочими бытовыми товарами,,,,,,,,,,,,"{""code"":""46.49"",""description"":""Торговля оптовая прочими бытовыми товарами""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,8,,,,other,,47.19,Торговля розничная прочая в неспециализированных магазинах,,,,,,,,,,,,"{""code"":""47.19"",""description"":""Торговля розничная прочая в неспециализированных магазинах""}"
64ff1f7c-0a1e-5547-826b-05824228001f,772377037026,772377037026,activity,9,,,,other,,82.99,"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки",,,,,,,,,,,,"{""code"":""82.99"",""description"":""Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,founder,0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛС-ДЕВЕЛОПМЕНТ""",9705138170,,founder,,,,99,10552,2021-02-11T21:00:00.000Z,True,,,,,,,,"{""name"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ДЕВЕЛОПМЕНТ\"""",""inn"":""9705138170"",""amount"":10552,""share"":99,""dateFrom"":{""$date"":""2021-02-11T21:00:00.000Z""},""active"":true}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,founder,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛС-ПРОФ""",7705560491,,founder,,,,0,10,2021-02-11T21:00:00.000Z,True,,,,,,,,"{""name"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ПРОФ\"""",""inn"":""7705560491"",""amount"":10,""share"":0,""dateFrom"":{""$date"":""2021-02-11T21:00:00.000Z""},""active"":true}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,founder,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛС-ПРОФ""",7705560491,,founder,,,,0,10,2021-02-11T21:00:00.000Z,True,,,,,,,,"{""name"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ПРОФ\"""",""inn"":""7705560491"",""amount"":10,""share"":0,""dateFrom"":{""$date"":""2021-02-11T21:00:00.000Z""},""active"":true}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,founder,3,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ СПОРТ,9714072342,,founder,,,,49,10075,2025-06-02T21:00:00.000Z,True,,,,,,,,"{""name"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВТБ СПОРТ"",""inn"":""9714072342"",""amount"":10075,""share"":49,""dateFrom"":{""$date"":""2025-06-02T21:00:00.000Z""},""active"":true}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,founder,4,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛС-ДЕВЕЛОПМЕНТ""",9705138170,,founder,,,,51,10486,2021-02-11T21:00:00.000Z,True,,,,,,,,"{""name"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ДЕВЕЛОПМЕНТ\"""",""inn"":""9705138170"",""amount"":10486,""share"":51,""dateFrom"":{""$date"":""2021-02-11T21:00:00.000Z""},""active"":true}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,director,0,КАМАЕВ ИГОРЬ СЕРГЕЕВИЧ,532117462758,,director,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,,,,,2025-11-09T21:00:00.000Z,,,,,,,,,"{""name"":""КАМАЕВ ИГОРЬ СЕРГЕЕВИЧ"",""positionName"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР"",""inn"":""532117462758"",""positionDate"":{""$date"":""2025-11-09T21:00:00.000Z""}}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,0,ООО ТЕННИС АРЕНА,9714073681,1257700168153,related_company,,,,,,,,2025-04-07T21:00:00.000Z,,,,,КАМАЕВ ИГОРЬ СЕРГЕЕВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714073681"",""ogrn"":""1257700168153"",""name"":""ООО ТЕННИС АРЕНА"",""registrationDate"":{""$date"":""2025-04-07T21:00:00.000Z""},""authPersonName"":""КАМАЕВ ИГОРЬ СЕРГЕЕВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,1,"ООО ""СЗ ""ГАЛС-ШОССЕЙНАЯ""",7705930720,1107746845293,related_company,,,,,,,,2010-10-14T20:00:00.000Z,,,,,ЛАЗАРЕВ ВАСИЛИЙ ВИКТОРОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""7705930720"",""ogrn"":""1107746845293"",""name"":""ООО \""СЗ \""ГАЛС-ШОССЕЙНАЯ\"""",""registrationDate"":{""$date"":""2010-10-14T20:00:00.000Z""},""authPersonName"":""ЛАЗАРЕВ ВАСИЛИЙ ВИКТОРОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,2,"ООО ""СТРОЙИНВЕСТ""",9714002730,1237700062467,related_company,,,,,,,,2023-01-25T21:00:00.000Z,,,,,ЗУЕВ ИВАН НИКОЛАЕВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714002730"",""ogrn"":""1237700062467"",""name"":""ООО \""СТРОЙИНВЕСТ\"""",""registrationDate"":{""$date"":""2023-01-25T21:00:00.000Z""},""authPersonName"":""ЗУЕВ ИВАН НИКОЛАЕВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,3,"ООО ""А-ПРОФ""",9714091803,1267700163466,related_company,,,,,,,,2026-05-11T21:00:00.000Z,,,,,МУХИН АНДРЕЙ АНАТОЛЬЕВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714091803"",""ogrn"":""1267700163466"",""name"":""ООО \""А-ПРОФ\"""",""registrationDate"":{""$date"":""2026-05-11T21:00:00.000Z""},""authPersonName"":""МУХИН АНДРЕЙ АНАТОЛЬЕВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,4,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГАЛС-2""",7714484198,1227700222166,related_company,,,,,,,,2022-04-14T21:00:00.000Z,,,,,ЖУРКО АЛЕКСЕЙ ВЛАДИСЛАВОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""7714484198"",""ogrn"":""1227700222166"",""name"":""ООО \""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК \""ГАЛС-2\"""",""registrationDate"":{""$date"":""2022-04-14T21:00:00.000Z""},""authPersonName"":""ЖУРКО АЛЕКСЕЙ ВЛАДИСЛАВОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,5,ООО БИЛЬЯРД АРЕНА,9714073699,1257700168164,related_company,,,,,,,,2025-04-07T21:00:00.000Z,,,,,КАМАЕВ ИГОРЬ СЕРГЕЕВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714073699"",""ogrn"":""1257700168164"",""name"":""ООО БИЛЬЯРД АРЕНА"",""registrationDate"":{""$date"":""2025-04-07T21:00:00.000Z""},""authPersonName"":""КАМАЕВ ИГОРЬ СЕРГЕЕВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,6,"ООО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ГАЛС-ФОРТЕ""",9705150273,1207700459086,related_company,,,,,,,,2020-11-29T21:00:00.000Z,,,,,ХАЛТУРИН ВАЛЕРИЙ ВЛАДИМИРОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9705150273"",""ogrn"":""1207700459086"",""name"":""ООО \""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК \""ГАЛС-ФОРТЕ\"""",""registrationDate"":{""$date"":""2020-11-29T21:00:00.000Z""},""authPersonName"":""ХАЛТУРИН ВАЛЕРИЙ ВЛАДИМИРОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,7,"ООО ""ГАЛС-РЕЗЕРВ""",9714094280,1267700239839,related_company,,,,,,,,2026-07-15T21:00:00.000Z,,,,,ЦЫГАНКОВ ДЕНИС АЛЕКСЕЕВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714094280"",""ogrn"":""1267700239839"",""name"":""ООО \""ГАЛС-РЕЗЕРВ\"""",""registrationDate"":{""$date"":""2026-07-15T21:00:00.000Z""},""authPersonName"":""ЦЫГАНКОВ ДЕНИС АЛЕКСЕЕВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,8,"ООО ""ГАЛС-ПРОФ""",7705560491,1037739843811,related_company,,,,,,,,2003-08-31T20:00:00.000Z,,,,,,,"{""inn"":""7705560491"",""ogrn"":""1037739843811"",""name"":""ООО \""ГАЛС-ПРОФ\"""",""registrationDate"":{""$date"":""2003-08-31T20:00:00.000Z""},""parentOrganizations"":[{""inn"":""9705138170"",""ogrn"":""1197746635580"",""fullName"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ДЕВЕЛОПМЕНТ\"""",""parentDate"":{""$date"":""2022-05-17T21:00:00.000Z""}}]}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,7705560491,related_parent_organization,0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛС-ДЕВЕЛОПМЕНТ""",9705138170,1197746635580,parent_of_related_company,,,,,,2022-05-17T21:00:00.000Z,,,,,,,,,"{""inn"":""9705138170"",""ogrn"":""1197746635580"",""fullName"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ДЕВЕЛОПМЕНТ\"""",""parentDate"":{""$date"":""2022-05-17T21:00:00.000Z""}}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,9,"ООО ""ГАЛС-ИНДУСТРИЯ 2""",9714006580,1237700206248,related_company,,,,,,,,2023-03-15T21:00:00.000Z,,,,,ЛАЗАРЕВ ВАСИЛИЙ ВИКТОРОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714006580"",""ogrn"":""1237700206248"",""name"":""ООО \""ГАЛС-ИНДУСТРИЯ 2\"""",""registrationDate"":{""$date"":""2023-03-15T21:00:00.000Z""},""authPersonName"":""ЛАЗАРЕВ ВАСИЛИЙ ВИКТОРОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,10,"ООО ""СЗ ""ГАЛС-НОВОПЕТРОВСКИЙ""",7743365477,1217700394867,related_company,,,,,,,,2021-08-23T21:00:00.000Z,,,,,КУНДЕЛЬСКИЙ АНДРЕЙ ИВАНОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""7743365477"",""ogrn"":""1217700394867"",""name"":""ООО \""СЗ \""ГАЛС-НОВОПЕТРОВСКИЙ\"""",""registrationDate"":{""$date"":""2021-08-23T21:00:00.000Z""},""authPersonName"":""КУНДЕЛЬСКИЙ АНДРЕЙ ИВАНОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,11,"ООО ""ГАЛС-НОВОДАНИЛОВСКАЯ""",9714016147,1237700515260,related_company,,,,,,,,2023-08-01T21:00:00.000Z,,,,,ЦЫГАНКОВ ДЕНИС АЛЕКСЕЕВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714016147"",""ogrn"":""1237700515260"",""name"":""ООО \""ГАЛС-НОВОДАНИЛОВСКАЯ\"""",""registrationDate"":{""$date"":""2023-08-01T21:00:00.000Z""},""authPersonName"":""ЦЫГАНКОВ ДЕНИС АЛЕКСЕЕВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,12,"АО ""ИРТ""",7705678285,1057747677822,related_company,,,,,,,,2005-08-02T20:00:00.000Z,,,,,,,"{""inn"":""7705678285"",""ogrn"":""1057747677822"",""name"":""АО \""ИРТ\"""",""registrationDate"":{""$date"":""2005-08-02T20:00:00.000Z""},""parentOrganizations"":[{""inn"":""9705138170"",""ogrn"":""1197746635580"",""fullName"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ДЕВЕЛОПМЕНТ\"""",""parentDate"":{""$date"":""2021-09-19T21:00:00.000Z""}}]}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,7705678285,related_parent_organization,0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛС-ДЕВЕЛОПМЕНТ""",9705138170,1197746635580,parent_of_related_company,,,,,,2021-09-19T21:00:00.000Z,,,,,,,,,"{""inn"":""9705138170"",""ogrn"":""1197746635580"",""fullName"":""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ \""ГАЛС-ДЕВЕЛОПМЕНТ\"""",""parentDate"":{""$date"":""2021-09-19T21:00:00.000Z""}}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,13,"ООО ""ДОХОДНЫЕ ИНВЕСТИЦИИ-2""",9704026019,1207700275089,related_company,,,,,,,,2020-08-04T21:00:00.000Z,,,,,ЗАХАРОВ АНДРЕЙ ВЯЧЕСЛАВОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9704026019"",""ogrn"":""1207700275089"",""name"":""ООО \""ДОХОДНЫЕ ИНВЕСТИЦИИ-2\"""",""registrationDate"":{""$date"":""2020-08-04T21:00:00.000Z""},""authPersonName"":""ЗАХАРОВ АНДРЕЙ ВЯЧЕСЛАВОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,14,"ООО ""ГК""",9714048029,1247700335871,related_company,,,,,,,,2024-04-22T21:00:00.000Z,,,,,КАРЕЛОВ АЛЕКСЕЙ БОРИСОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714048029"",""ogrn"":""1247700335871"",""name"":""ООО \""ГК\"""",""registrationDate"":{""$date"":""2024-04-22T21:00:00.000Z""},""authPersonName"":""КАРЕЛОВ АЛЕКСЕЙ БОРИСОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,15,"ООО ""ВОЙКОВСКАЯ""",7743265384,1187746682210,related_company,,,,,,,,2018-07-15T21:00:00.000Z,,,,,ШИТИКОВА ВИКТОРИЯ АЛЕКСАНДРОВНА,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""7743265384"",""ogrn"":""1187746682210"",""name"":""ООО \""ВОЙКОВСКАЯ\"""",""registrationDate"":{""$date"":""2018-07-15T21:00:00.000Z""},""authPersonName"":""ШИТИКОВА ВИКТОРИЯ АЛЕКСАНДРОВНА"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,16,"АО ""УК ""ОТЕЛЬ МЕНЕДЖМЕНТ""",7709656042,1067746158611,related_company,,,,,,,,2006-01-29T21:00:00.000Z,,,,,КАРЕЛОВ АЛЕКСЕЙ БОРИСОВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""7709656042"",""ogrn"":""1067746158611"",""name"":""АО \""УК \""ОТЕЛЬ МЕНЕДЖМЕНТ\"""",""registrationDate"":{""$date"":""2006-01-29T21:00:00.000Z""},""authPersonName"":""КАРЕЛОВ АЛЕКСЕЙ БОРИСОВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
3c73b78d-627b-54a5-ad04-e5fae7fae666,9705152496,9705152496,related_company,17,"ООО ""ПЕРСПЕКТИВА""",9714059359,1247700627063,related_company,,,,,,,,2024-09-19T21:00:00.000Z,,,,,ЦЫГАНКОВ ДЕНИС АЛЕКСЕЕВИЧ,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР,"{""inn"":""9714059359"",""ogrn"":""1247700627063"",""name"":""ООО \""ПЕРСПЕКТИВА\"""",""registrationDate"":{""$date"":""2024-09-19T21:00:00.000Z""},""authPersonName"":""ЦЫГАНКОВ ДЕНИС АЛЕКСЕЕВИЧ"",""authPersonPosition"":""ГЕНЕРАЛЬНЫЙ ДИРЕКТОР""}"
